epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,677.708,0.67981,0.80064,0.99493,0.9917,0.98253,0.99448,0.87616,0.53095,0.74019,0.87772,0.000848969,0.000848969,0.000848969
43,696.051,0.60676,0.75221,0.92419,0.98016,0.97959,0.99393,0.87036,0.53472,0.73804,0.87063,0.000834822,0.000834822,0.000834822
44,711.022,0.70467,0.77027,0.96561,0.98016,0.97959,0.99393,0.87036,0.53472,0.73804,0.87063,0.000820675,0.000820675,0.000820675
45,724.446,0.67898,0.81125,0.94797,0.98406,0.97959,0.99364,0.87302,0.5299,0.73289,0.86052,0.000806528,0.000806528,0.000806528
46,738.08,0.68434,0.8046,0.9953,0.98406,0.97959,0.99364,0.87302,0.5299,0.73289,0.86052,0.00079238,0.00079238,0.00079238
47,751.198,0.66835,0.80509,0.95125,0.99327,0.97959,0.99434,0.89109,0.48199,0.73187,0.85273,0.000778233,0.000778233,0.000778233
48,764.741,0.71065,0.80478,0.96358,0.99327,0.97959,0.99434,0.89109,0.48199,0.73187,0.85273,0.000764086,0.000764086,0.000764086
49,779.504,0.62303,0.76996,0.94736,0.99084,0.99308,0.99487,0.89351,0.48214,0.70739,0.85462,0.000749939,0.000749939,0.000749939
50,793.125,0.65476,0.74626,0.96386,0.99084,0.99308,0.99487,0.89351,0.48214,0.70739,0.85462,0.000735792,0.000735792,0.000735792
51,806.436,0.65997,0.72873,0.9299,0.9878,0.9932,0.99487,0.88377,0.5105,0.66298,0.85999,0.000721645,0.000721645,0.000721645
52,819.848,0.66464,0.76633,0.92883,0.9878,0.9932,0.99487,0.88377,0.5105,0.66298,0.85999,0.000707498,0.000707498,0.000707498
53,833.329,0.64343,0.73084,0.95945,0.99038,1,0.995,0.89336,0.49594,0.64723,0.8614,0.000693351,0.000693351,0.000693351
54,849.375,0.66509,0.72884,0.91628,0.99038,1,0.995,0.89336,0.49594,0.64723,0.8614,0.000679204,0.000679204,0.000679204
